id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
44;mapping_categories;requests;1597307727.816635;-0.3437480926513672;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=440;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=440;104218;200;True;
45;mapping_categories;requests;1597307728.666084;-0.4173908233642578;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=460;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=460;104173;200;True;
46;mapping_categories;requests;1597307729.584752;-0.41965198516845703;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=480;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=480;103613;200;True;
47;mapping_categories;requests;1597307730.509462;-0.3149387836456299;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=500;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=500;103477;200;True;
48;mapping_categories;requests;1597307731.3288162;-0.25940680503845215;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=520;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=520;105124;200;True;
49;mapping_categories;requests;1597307732.091787;-0.3715498447418213;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=540;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=540;103990;200;True;
50;mapping_categories;requests;1597307732.968808;-0.3130531311035156;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=560;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=560;103830;200;True;
51;mapping_categories;requests;1597307733.783499;-0.31874513626098633;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=580;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=580;103480;200;True;
52;mapping_categories;requests;1597307734.6072052;-0.31342577934265137;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=600;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=600;104329;200;True;
53;mapping_categories;requests;1597307735.422511;-0.8312067985534668;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=620;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=620;104591;200;True;
54;mapping_categories;requests;1597307736.756692;-0.4182150363922119;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=640;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=640;103391;200;True;
55;mapping_categories;requests;1597307737.679735;-0.24481606483459473;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=660;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=660;104085;200;True;
56;mapping_categories;requests;1597307738.425835;-0.2822270393371582;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=680;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=680;103108;200;True;
57;mapping_categories;requests;1597307739.209855;-0.21111583709716797;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=700;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=700;104200;200;True;
58;mapping_categories;requests;1597307739.926611;-0.31992292404174805;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=720;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=720;104519;200;True;
59;mapping_categories;requests;1597307740.752347;-0.3121640682220459;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=740;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=740;103845;200;True;
60;mapping_categories;requests;1597307741.567266;-0.3202240467071533;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=760;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=760;102689;200;True;
61;mapping_categories;requests;1597307742.39234;-0.3100302219390869;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=780;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=780;102999;200;True;
